이름
더 K9   터보 AWD 그랜드 마스터즈   
스토닉   디젤 프레스티지   
스타리아   디젤 캠핑카 -   
쉐보레 이쿼녹스  디젤 프리미어
쉐보레 더 뉴 아베오  터보  LT
G4 렉스턴   디젤  5인승 헤리티지   
뉴카이런  디젤  5인승 LV6
더 K9  AWD 플래티넘Ⅰ
뉴 에쿠스  VS460 프레스티지
아반떼HD  디젤 S16 프리미어
르노코리아 XM3   RE 시그니처   
코란도 C  디젤  클러비 파크
슈퍼 렉스턴   디젤  RX4 브라운   
갤로퍼  디젤 표준형
링컨 MKZ 2세대   에코부스트 AWD 리저브   
볼보 XC90 2세대   D5 AWD R-디자인   
아반떼 LPi 하이브리드  HDE Ⅲ어드밴스팩
벤츠  1세대  300 GD   
올 뉴 프라이드  5도어 럭셔리
파비스 톤  극초장축 프레스티지
에쿠스   JS 330 럭셔리
BMW X3 3세대  xDrive 20d M 스포츠   
아우디 Q7 2세대  55 TFSI 콰트로 프리미엄   
렉서스 ES 7세대  300h 럭셔리 플러스   
e-에어로타운 캠핑카
포터2  다용도탑차 -  
스타렉스 캠핑카 
뉴스타렉스 캠핑카 
e마이티  파워게이트 -   
BMW  6세대  520d M 스포츠   
NF쏘나타 트랜스폼   LPi 프리미어   
봉고3  톤 냉장탑차 -  
대우 알페온 CL300 프리미엄
레이 EV
아우디 A4 4세대   TFSI 콰트로 유로  
랜드로버 레인지로버 스포츠   V6 SC HSE 다이나믹   
쉐보레 트래버스  V6 레드라인
쉐보레 올란도  LPGi 다이나믹
토요타 툰드라 2세대   V8  1794 에디션   
벤츠  6세대  S63L AMG 4매틱 -   
벤츠  3세대  V250 브라부스 -   
벤츠  3세대  SLK200 블루이피션시 -   
BMW X6 2세대  xDrive 30d -  
GM대우 구쎈  톤 슬리퍼캡 초장축
미니 쿠퍼 클럽맨 2세대  SD  -   
포드 머스탱 6세대   GT 컨버터블    
벤틀리 플라잉스퍼 2세대   -   
쉐보레 타호    다크 나이트   
BMW i8  쿠페 -   
EV3 롱레인지 GT 라인
벤츠  6세대  S500L -   
EV9  GT 라인  -   
벤츠 SEL  300 SEL    
GM대우 노부스 톤 4X2  극초장축 플러스
쌍용 체어맨H 뉴 클래식  500S 고급형
벤츠  9세대  E300 엘레강스   
포드 뉴 토러스 6세대   리미티드   
e마이티  톤 더블캡 장축고상 슈퍼   
BMW  5세대  730Ld -   
랜드로버 디펜더  90 SVX 60주년 에디션    
GM대우 뉴 다마스  2인승 판넬밴 슈퍼   
BMW  5세대  알피나 B5 -   
GM대우 BX 212S - 
GM대우 BH 090 
재규어 XJ  D LWB -   
BMW  액티브 투어러  218d 조이   
크라이슬러 300C   V6 리무진 -   
애스턴마틴 라피드  S  V12 -   
e-에어로타운 롱바디 34인승 자가용
GMC 시에라   V8 드날리   
올 뉴 마이티  2톤 내로우캡 장축고상 하이슈퍼   
볼보 S70   R   
포텐샤   클래식  
프라이드 베타  4도어 GLXI
대우 에스페로  DOHC
스즈키 알토라팡  G -   
스즈키 사이드킥    -   
티뷰론   DOHC -   
토요타 GR 야리스    -   
체어맨   CM 600S   
쏘나타2   GL   
사브 900   S -   
프레스토   AMX   
코스모스 35인승 
알핀 A110   -   
포터2 윙바디 
포터2  윙바디    
포터2  윙바디    
포터2  윙바디    
봉고3  윙바디 탑차 -  
봉고3 윙바디 탑차
봉고3 윙바디 탑차
봉고3 윙바디 탑차
봉고3 내장 탑차
봉고3 내장 탑차
봉고3  내장 탑차 -   
봉고3 내장 탑차
봉고3  내장 탑차 -   
봉고3  내장 탑차 -   
봉고3 냉동 탑차
봉고3  냉동 탑차 -  
더 뉴 봉고3 내장 탑차  1톤 플러스형
올 뉴 마이티  톤 윙바디 -   
올 뉴 마이티 톤 윙바디 
올 뉴 마이티 톤 윙바디 
유니버스 익스프레스 럭셔리
유니버스 캠핑카 -  
유니버스 캠핑카 -  
유니버스 캠핑카 -  
유니버스 익스프레스 노블   
제네시스 G90 1세대   터보 AWD 프리미엄 럭셔리   
제네시스 G90 1세대   터보 AWD 프리미엄 럭셔리   
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리
제네시스 G90 1세대  터보 AWD 프리미엄 럭셔리
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD 
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80  터보 AWD
제네시스 더 올 뉴 G80   터보 AWD -   
제네시스 더 올 뉴 G80   터보 AWD -   
