이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
GM대우 레스타  캠핑카 -   ,차량번호 74가4073,19,69216.0,디젤,3800.0,흰색투톤,불가,68800000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23,0.012307133266973781
GM대우 레스타  캠핑카 -   ,차량번호 71마5658,15,117679.0,디젤,3183.0,베이지색,불가,42800000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23,0.012307133266973781
GM대우 레스타  캠핑카 -   ,차량번호 77머1114,13,108019.0,디젤,3760.0,흰색투톤,불가,44800000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23,0.012307133266973781
GM대우 레스타  캠핑카 -   ,차량번호 73도6823,15,527341.0,디젤,3760.0,흰색,불가,25000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,23,0.012307133266973781
렉스턴 스포츠  디젤   프레스티지 스페셜,차량번호 83우3479,21,79465.0,디젤,2157.0,회색,"60개월 / 100,000km",20500000,66,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,018,600",0.0,0,24,0.052527882220947446
렉스턴 스포츠  디젤   프레스티지 스페셜,차량번호 83우3479,21,79465.0,디젤,2157.0,회색,"60개월 / 100,000km",20500000,66,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"1,018,600",0.0,0,24,0.052527882220947446
더 뉴 렉스턴 스포츠 칸   디젤  프레스티지  ,차량번호 87보6515,22,31000.0,디젤,2157.0,진회색,"60개월 / 100,000km",27500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
더 뉴 렉스턴 스포츠 칸   디젤  프레스티지   ,차량번호 987주3575,24,14700.0,디젤,2157.0,흰색,"60개월 / 100,000km",58000000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,24,0.049754149734325334
더 뉴 렉스턴 스포츠   디젤  프레스티지   ,차량번호 826가6738,24,36614.0,디젤,2157.0,흰색,"60개월 / 100,000km",32900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
더 뉴 렉스턴 스포츠 칸   디젤  프레스티지   ,차량번호 87두1356,22,14299.0,디젤,2157.0,빨간색,"60개월 / 100,000km",33900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 97노0995,20,69235.0,디젤,2157.0,갈색,불가,19990000,68,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 93더0262,19,77800.0,디젤,2157.0,흰색,정보없음,22900000,78,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지,차량번호 801주8212,19,150536.0,디젤,2157.0,흰색,정보없음,16500000,56,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"456,723",1.0,"502,430",24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 96주0863,20,117959.0,디젤,2157.0,진회색,불가,17000000,62,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 93더0262,19,77800.0,디젤,2157.0,흰색,정보없음,22900000,78,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지,차량번호 801주8212,19,150536.0,디젤,2157.0,흰색,정보없음,16500000,56,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"456,723",1.0,"502,430",24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 96주0863,20,117959.0,디젤,2157.0,진회색,불가,17000000,62,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠   디젤  프레스티지   ,차량번호 96주0863,20,117959.0,디젤,2157.0,진회색,불가,17000000,62,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.049754149734325334
렉스턴 스포츠  디젤  노블레스,차량번호 804거7542,23,6800.0,디젤,2157.0,검정색,"60개월 / 100,000km",50000000,145,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,24,0.04191924679989282
렉스턴 스포츠 칸   디젤  캠핑카   ,차량번호 99누9132,20,22000.0,디젤,2157.0,흰색,불가,58900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.04073879068053425
렉스턴 스포츠 칸   디젤  캠핑카   ,차량번호 99누9132,20,22000.0,디젤,2157.0,흰색,불가,58900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,24,0.04073879068053425
쌍용 더 뉴 렉스턴 스포츠 칸  디젤  노블레스,차량번호 90더2224,22,62000.0,디젤,2157.0,녹색,불가,26500000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"996,945",0.0,0,24,0.03260644071932923
쌍용 더 뉴 렉스턴 스포츠 칸  디젤  노블레스,차량번호 90더2224,22,62000.0,디젤,2157.0,녹색,불가,26500000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,"996,945",0.0,0,24,0.03260644071932923
렉스턴 스포츠  디젤  어드벤처,차량번호 96로0620,19,92977.0,디젤,2157.0,진회색,정보없음,17000000,61,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"745,269",24,0.02612094699912855
렉스턴 스포츠  디젤  어드벤처,차량번호 96로0620,19,92977.0,디젤,2157.0,진회색,정보없음,17000000,61,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"745,269",24,0.02612094699912855
렉스턴 스포츠  디젤  어드벤처,차량번호 96로0620,19,92977.0,디젤,2157.0,진회색,정보없음,17000000,61,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"745,269",24,0.02612094699912855
올 뉴 렉스턴   디젤  더 블랙   ,차량번호 361누5031,23,41000.0,디젤,2157.0,검정투톤,"60개월 / 100,000km",39000000,77,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,24,0.022316655984450196
쌍용 올 뉴 렉스턴  디젤  더 블랙,차량번호 105더3219,21,84300.0,디젤,2157.0,검정색,불가,33000000,65,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0,"4,790,766",2.0,"2,990,671",24,0.018035320451139873
폭스바겐 아테온   TDI 프레스티지   ,차량번호 159모4004,23,45837.0,디젤,1968.0,흰색,"60개월 / 150,000km",33990000,61,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,25,0.011610271534544851
폭스바겐 티구안 1세대   TDI 4모션 컴포트   ,차량번호 51조6104,15,168532.0,디젤,1968.0,은색,불가,8990000,23,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,25,0.00607318648911841
폭스바겐 티구안 2세대   TDI -   ,차량번호 173러2851,19,101000.0,디젤,1968.0,흰색,불가,17500000,45,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,25,0.005773571250452193
포터2  시티밴 -   ,차량번호 827서1860,23,18000.0,디젤,2497.0,흰색,정보없음,22000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -   ,차량번호 821오5692,17,103590.0,디젤,2497.0,흰색,불가,12900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -  ,차량번호 82거3166,14,118854.0,디젤,2497.0,흰색,불가,7900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -   ,차량번호 821오5692,17,103590.0,디젤,2497.0,흰색,불가,12900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -  ,차량번호 82거3166,14,118854.0,디젤,2497.0,흰색,불가,7900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -   ,차량번호 821오5692,17,103590.0,디젤,2497.0,흰색,불가,12900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
포터2  시티밴 -  ,차량번호 82거3166,14,118854.0,디젤,2497.0,흰색,불가,7900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,26,0.013119883852294192
쉐보레 올 뉴 말리부   터보 LTZ 프리미엄,차량번호 64너0611,17,89096.0,가솔린,1998.0,진주색,만료,12800000,38,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"467,609",0.0,0,27,0.038234852408727676
쉐보레 올 뉴 말리부   터보 LTZ 프리미엄   ,차량번호 16오0240,17,81260.0,가솔린,1998.0,진회색,불가,12900000,38,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.038234852408727676
쉐보레 올 뉴 말리부   터보 LTZ 프리미엄   ,차량번호 16오0240,17,81260.0,가솔린,1998.0,진회색,불가,12900000,38,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.038234852408727676
쉐보레 올 뉴 말리부   터보 LTZ 프리미엄   ,차량번호 16오0240,17,81260.0,가솔린,1998.0,진회색,불가,12900000,38,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.038234852408727676
쉐보레 더 뉴 말리부  터보 LT 스페셜,차량번호 163더8216,20,66620.0,가솔린,1998.0,회색,불가,13000000,43,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,1.0,"3,312,429",1.0,"509,960",27,0.03519121289330868
쉐보레 올란도  디젤 LTZ 프리미엄,차량번호 49머8199,12,124000.0,디젤,1998.0,흰색,불가,5500000,21,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,3.0,"3,233,490",3.0,"2,486,200",27,0.03356559080834897
쉐보레 올란도  디젤 LTZ 프리미엄,차량번호 64가2680,14,124630.0,디젤,1998.0,회색,만료,3990000,14,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,4.0,"5,255,340",1.0,"268,200",27,0.03356559080834897
쉐보레 올란도  디젤 LT 프리미엄,차량번호 22거2434,16,116100.0,디젤,1998.0,기타색상,만료,5800000,23,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"3,466,670",0.0,0,27,0.0333225934230198
쉐보레 올 뉴 말리부  터보 LS 디럭스,차량번호 64노5707,18,87155.0,가솔린,1490.0,진회색,만료,8600000,34,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"2,176,532",2.0,"2,463,640",27,0.02941968700856627
쉐보레 올 뉴 말리부  터보 LS 디럭스,차량번호 03가9852,18,159449.0,가솔린,1490.0,흰색,만료,5990000,23,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27,0.02941968700856627
쉐보레 올 뉴 말리부  터보 LS 디럭스,차량번호 64노5707,18,87155.0,가솔린,1490.0,진회색,만료,8600000,34,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"2,176,532",2.0,"2,463,640",27,0.02941968700856627
쉐보레 올 뉴 말리부  터보 LS 디럭스,차량번호 64노5707,18,87155.0,가솔린,1490.0,진회색,만료,8600000,34,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,2.0,"2,176,532",2.0,"2,463,640",27,0.02941968700856627
쉐보레 크루즈  디젤  LTZ 플러스,차량번호 63서5370,12,158000.0,디젤,1998.0,진회색,만료,2500000,11,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"1,431,426",3.0,"8,239,357",27,0.02886515544134926
쉐보레 크루즈  디젤  LTZ 플러스,차량번호 63서5370,12,158000.0,디젤,1998.0,진회색,만료,2500000,11,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"1,431,426",3.0,"8,239,357",27,0.02886515544134926
쉐보레 크루즈  디젤  LTZ 플러스,차량번호 63서5370,12,158000.0,디젤,1998.0,진회색,만료,2500000,11,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,2.0,"1,431,426",3.0,"8,239,357",27,0.02886515544134926
쉐보레 어메이징 뉴 크루즈   터보 LTZ  ,차량번호 21러0162,18,129167.0,가솔린,1362.0,청색,불가,5500000,25,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.027646399466162645
쉐보레 어메이징 뉴 크루즈   터보 LTZ  ,차량번호 21러0162,18,129167.0,가솔린,1362.0,청색,불가,5500000,25,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.027646399466162645
쉐보레 어메이징 뉴 크루즈   터보 LTZ  ,차량번호 21러0162,18,129167.0,가솔린,1362.0,청색,불가,5500000,25,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,27,0.027646399466162645
쉐보레 트랙스 크로스오버  가솔린 터보 액티브,차량번호 220호3363,24,11000.0,가솔린,1199.0,빨간색,"60개월 / 100,000km",600000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27,0.02587075304462001
쉐보레 트랙스 크로스오버  가솔린 터보 액티브,차량번호 142루5168,24,8621.0,가솔린,1199.0,흰색,"60개월 / 100,000km",24800000,92,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27,0.02587075304462001
쉐보레 트랙스 크로스오버  가솔린 터보 액티브,차량번호 220호3363,24,11000.0,가솔린,1199.0,빨간색,"60개월 / 100,000km",600000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27,0.02587075304462001
쉐보레 캡티바  디젤  LTZ,차량번호 24모8785,14,89000.0,디젤,2231.0,흰색,만료,6190000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"1,377,650",0.0,0,27,0.025679176039846086
쉐보레 말리부  디젤 LT 디럭스팩,차량번호 16소4770,16,149704.0,디젤,1956.0,흰색,만료,3790000,12,1,1,1,1,1,1,1,1,1,1,1,6.0,0.0,0.0,0.0,0.0,2.0,"901,930",1.0,"853,670",27,0.02561516574066121
올 뉴 K3   터보 5도어 GT 플러스   ,차량번호 53수1164,20,97349.0,가솔린,1591.0,검정색,불가,16990000,68,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,27,0.025519550088300175
올 뉴 K3   터보 5도어 GT 플러스   ,차량번호 53수1164,20,97349.0,가솔린,1591.0,검정색,불가,16990000,68,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,27,0.025519550088300175
올 뉴 K3   터보 5도어 GT 플러스   ,차량번호 53수1164,20,97349.0,가솔린,1591.0,검정색,불가,16990000,68,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,27,0.025519550088300175
쉐보레 캡티바   디젤  LT   ,차량번호 36우6869,14,144000.0,디젤,1998.0,기타색상 (화이트 펄),불가,4500000,15,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,27,0.025433485315110436
쉐보레 캡티바  디젤  LT,차량번호 236주7604,13,131000.0,디젤,2231.0,흰색,만료,4390000,14,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"2,147,158",2.0,"731,920",27,0.025433485315110436
쉐보레 캡티바  디젤  LT,차량번호 36도3755,13,120000.0,디젤,2231.0,진회색,만료,5390000,,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"6,359,100",0.0,0,27,0.025433485315110436
쉐보레 어메이징 뉴 크루즈  터보 LT 디럭스팩,차량번호 09라6143,16,131788.0,가솔린,1362.0,회색,만료,4200000,20,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,"883,880",0.0,0,27,0.02469846547876369
